#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_001070555.1_JVUF01000648.1_35268_36546_comp         -            425 Peptidase_M23        PF01551.25    96   5.5e-33  115.6   0.3   1   1   3.9e-35   2.1e-32  113.8   0.2     2    96   298   392   297   392 0.98 -
GCA_001068645.1_JWDI01000205.1_8499_9795_comp           -            431 Peptidase_M23        PF01551.25    96   1.7e-32  114.1   0.2   1   1   6.8e-35   3.6e-32  113.0   0.2     2    96   304   398   303   398 0.98 -
GCA_001073525.1_JVAP01000361.1_13128_13854_revcomp      -            241 Peptidase_M23        PF01551.25    96   2.5e-32  113.5   1.6   1   1   1.1e-34   5.6e-32  112.4   1.6     2    96   139   233   138   233 0.98 -
GCA_001070555.1_JVUF01000854.1_43132_44269_comp         -            378 Peptidase_M23        PF01551.25    96   7.9e-31  108.7   1.4   1   1   1.5e-33   7.9e-31  108.7   1.4     3    96   278   371   276   371 0.97 -
GCA_001068645.1_JWDI01000195.1_14308_15448_revcomp      -            379 Peptidase_M23        PF01551.25    96   8.1e-31  108.7   1.2   1   1   1.6e-33   8.1e-31  108.7   1.2     3    96   279   372   277   372 0.97 -
GCA_001068645.1_JWDI01000142.1_35678_36455_revcomp      -            258 Peptidase_M23        PF01551.25    96   1.1e-30  108.2   2.5   1   1   2.8e-33   1.5e-30  107.9   0.9     3    96   152   245   150   245 0.96 -
GCA_001230465.1_CTZB01000088.1_399_2361_revcomp         -            653 Peptidase_M23        PF01551.25    96   4.5e-30  106.3   2.0   1   1   1.8e-32   9.2e-30  105.3   2.0     2    96   508   604   507   604 0.98 -
GCA_011027375.1_JAAJDF010000108.1_450_1209_comp         -            252 Peptidase_M23        PF01551.25    96   4.5e-30  106.3   1.8   1   1   8.5e-33   4.5e-30  106.3   1.8     3    96   146   239   144   239 0.96 -
GCA_006680085.1_VFBN01000038.1_11192_12155_revcomp      -            320 Peptidase_M23        PF01551.25    96   7.7e-30  105.6   3.1   1   1   4.3e-32   2.3e-29  104.1   3.1     2    90   212   306   211   312 0.89 -
GCA_001230465.1_CTZB01000008.1_98807_100616_revcomp     -            602 Peptidase_M23        PF01551.25    96   1.7e-29  104.5   3.7   1   1     7e-32   3.6e-29  103.4   3.7     2    96   455   551   454   551 0.96 -
GCA_001070555.1_JVUF01000253.1_1438_2155_revcomp        -            238 Peptidase_M23        PF01551.25    96   1.8e-29  104.4   1.7   1   1   3.4e-32   1.8e-29  104.4   1.7     3    96   132   225   130   225 0.96 -
GCA_003387875.1_QKYG01000210.1_24456_25410_comp         -            317 Peptidase_M23        PF01551.25    96   2.9e-29  103.7   1.4   1   1   5.5e-32   2.9e-29  103.7   1.4     2    96   209   309   208   309 0.91 -
GCA_001230465.1_CTZB01000116.1_9169_10426_comp          -            418 Peptidase_M23        PF01551.25    96   1.6e-28  101.4   0.4   1   1     3e-31   1.6e-28  101.4   0.4     3    96   318   412   316   412 0.97 -
GCA_014635045.1_BMCF01000001.1_59401_60526_revcomp      -            374 Peptidase_M23        PF01551.25    96   2.7e-28  100.6   2.5   1   1   5.1e-31   2.7e-28  100.6   2.5     2    90   266   360   265   366 0.89 -
GCA_003578835.1_QXUH01000095.1_8122_9199_revcomp        -            358 Peptidase_M23        PF01551.25    96   4.9e-28   99.8   3.7   1   1   9.3e-31   4.9e-28   99.8   3.7     2    90   250   344   249   350 0.88 -
GCA_003387875.1_QKYG01000126.1_8503_9502_comp           -            332 Peptidase_M23        PF01551.25    96   1.6e-27   98.1   2.3   1   1   3.1e-30   1.6e-27   98.1   2.3     2    95   225   324   224   325 0.89 -
GCA_002994385.1_MRZH01000006.1_41911_43033_revcomp      -            373 Peptidase_M23        PF01551.25    96   1.9e-27   97.9   2.6   1   1   1.1e-29   5.8e-27   96.3   2.6     2    90   265   359   264   365 0.88 -
GCA_015638825.1_AAXLCX010000023.1_4053_4929_revcomp     -            291 Peptidase_M23        PF01551.25    96   5.1e-27   96.5   2.0   1   1   9.7e-30   5.1e-27   96.5   2.0     2    92    73   164    72   173 0.88 -
GCA_007676625.1_VEKD01000007.1_29331_30099_revcomp      -            255 Peptidase_M23        PF01551.25    96   7.4e-27   96.0   1.3   1   1   3.1e-29   1.6e-26   94.9   1.3     2    96    41   141    40   141 0.91 -
GCA_000541615.1_KI977553.1_187623_188214_comp           -            196 Peptidase_M23        PF01551.25    96     1e-26   95.5   0.9   1   1     3e-29   1.6e-26   94.9   0.9     2    91    79   170    78   178 0.93 -
